,article_content,labels
82,date public 3 april 2017 least 22 civilian kill syrian regim airstrik outskirt damascu monday syrian observatori human right said tag syria damascu douma regim rebel civilian bashar alassad airstrik syrian regim airstrik rebelheld region near damascu kill least 22 civilian monday syrian observatori human right said highest toll douma largest town eastern ghouta region raid kill 16 civilian includ least one child wound 22 said five civilian kill town sabqa one town harasta also eastern ghouta observatori said eastern ghouta region adjac capit eastern neighbourhood jobar divid regim rebel control last month arm opposit launch surpris assault regim forc jobar repel week fight eastern ghouta devast govern sieg sinc 2012 trap 300000 civilain target regularli airstrik artilleri last remain opposit stronghold near damascu string local reconcili deal seen villag town brought back control presid bashar alassad govern world health organ last week demand immedi humanitarian access area say resid desper need medic attent time run peopl east ghouta health need increas avail resourc deplet day day main goal provid access lifesav care thousand vulner men women children immedi said elizabeth hoff repres syria 3 public hospit 17 public health care centr east ghouta nonfunct inaccess popul said statement regim fight push rebel five neighbourhood damascu rebel control almost qabun tishreen northeast well half jobar east also present barzeh north tadamun south neighbourhood cover truce regim syrian conflict began baath regim power sinc 1963 led presid bashar alassad respond militari forc peac protest demand democrat reform arab spring wave upris trigger arm rebellion fuel mass defect syrian armi accord independ monitor hundr thousand civilian kill war mostli regim power alli million displac insid outsid syria brutal tactic pursu mainli regim includ use chemic weapon sieg mass execut tortur civilian led war crime investig read also,0
197,least 40 kill syrian weapon depot blast rocket attack strike governmentheld district central syrian citi hom thursday kill 40 peopl wound 120 say syrian observatori human right ap thursday 1 aug 2013 rocket attack struck governmentheld district central syrian citi hom thursday set success explos weapon depot kill least 40 peopl wound dozen opposit group resid said blast sent massiv ball fire sky caus widespread damag panic among resid mani support presid bashar assad one resid said explos strong crack wall build thick smoke dust could seen distanc explos shook ground video post onlin activist show huge ball fire hom neighborhood explos hom reflect seesaw natur conflict show despit signific advanc assad militari rebel could still strike back offici governor offic hom said 10 rocket slam neighborhood zahra nearbi sport stadium spark larg fire caus sever casualti said explos caus massiv destruct wound least 130 peopl didnt offer number kill offici spoke condit anonym line govern regul give casualti figur britainbas syrian observatori human right close monitor fight syria said 40 peopl kill 120 wound critic rocket struck arm depot ignit fire resid hom corrobor account say heard blast hour first explos said could heard overwhelmingli proregim district wadi dahab alwalid regim known keep arm depot rocket fall area arm depot began explod dont know rocket trigger blast said speak condit anonym fear retali said explos strong shook part citi also shatter window area crack wall ad said spoke syrian arab red crescent paramed told least 22 bodi taken hospit explos hom coincid rare trip presid bashar assad former rebel bastion near capit damascu mark armi day assad visit daraya first known public trip outsid capit seat power year visit batter baba amr district central citi hom troop seiz rebel march 2012 also latest sign confid assad whose troop offens score signific gain rebel recent month assad pledg victori troop fight toppl 100000 peopl kill sinc upris assad famili fourdecad rule began march 2011 revolt later escal civil war uproot million peopl home,0
521,septemb 12 2013 obama say shift domest prioriti syria focu mark felsenth presid barack obama said thursday shift focu domest prioriti tens period sought congression approv use militari forc syria suspect use chemic weapon even spend lot time syria issu make sure intern attent focus horribl tragedi occur still import recogn weve got lot stuff govern presid said meet cabinet white hous presid said hope meet secretari state john kerri russian foreign minist sergei lavrov result action elimin syria abil use chemic weapon obama ask congress author militari strike syria respons unit state say chemic weapon attack govern kill 1400 peopl august 21 issu hold pend diplomat effort disarm syria chemic weapon hope discuss secretari kerri foreign minist lavrov well player yield concret result obama said us presid barack obama speak cabinet meet west wing white hous washington septemb 12 2013 reutersjason reed secretari state john kerri russian foreign minist sergei lavrov hold talk syria geneva presid cite budget immigr implement signatur healthcar legisl concern turn administr face daunt obstacl three front tick clock budget particular congression republican sought elimin fund health law known obamacar want presid agre spend cut exchang rais nation debt limit lawmak must pass legisl continu fund govern oper end month forc govern shutdown failur rais nation debt limit date expect midoctob would trigger debt default administr also scrambl make sure american lack health coverag sign insur new law start octob 1 go focu specif issu includ manag budget debat go take place next sever week obama said go talk rollout afford care act report mark felsenth roberta rampton edit vicki allen standardsth thomson reuter trust principl,1
654,26122014 syrian armi alongsid volunt militia kill 70 islam state fighter two day near turkish border lebanes almanar tv channel report friday accord almanar syrian forc carri offens south northeastern border citi qamishli aim weaken milit secur ring around area regain control strateg import height abu qasayeb tal ghazal settlement milit abl carri attack qamishli nearbi airport reuter murad sezer turkish armi seiz arm insurg turkishsyrian border syrian forc manag regain territori locat 48 kilomet south turkish border two day fight tv channel report milit kill militari offens foreign nation enter syria turkey accord syrian arab news agenc meanwhil port citi latakia far western part syriaturkey border syrian forc reportedli destroy warehous iss weapon militari equip sputnik andrei stenin syria secur servic avert terror attack damascu militari sourc syrian govern fight number militia sinc arm upris began 2011 promin insurg group islam state seiz vast area countri well neighbor iraq fighter declar islam caliph territori control also target airstrik carri intern coalit led unit state 43 topic violenc erupt islam state rise 1881 relat syrian forc deni kill dozen civilian governmentl airstrik syrian reconcili talk moscow begin januari 22opposit parti pope franci pray peac wartorn ukrain iraq syria syrian conflict consum 50 aid agenc 2015 humanitarian budget un tag daesh airstrik turkey syria unit state latakia commun standardsdiscuss comment via facebookcom via sputnik news,0
702,07042017updat 1121 07042017 get short url topic us missil attack syrian air base 200 0 38 us missil strike militari airfield syria near hom kill five peopl injur seven hom governor talal barazi said friday damascu sputnik us launch 59 tomahawk cruis missil syrian militari airfield ash shairat near hom late thursday us presid donald trump said attack respons alleg chemic weapon use idlib tuesday washington blame damascu accord preliminari data five peopl kill attack seven other injur barazi quot say al mayadeen tv channel ap photo felip dana us missil attack syria attempt divert attent mosul moscow accord governor settlement sever damag result missil strike thursday night unit state launch 59 tomahawk cruis missil syrian militari airfield ash shairat locat 40 kilomet 25 mile citi hom us presid donald trump said attack respons alleg chemic weapon use syria idlib tuesday washington blame syrian govern tuesday alleg chemic weapon attack syria idlib provinc claim live 80 peopl inflict harm addit 200 civilian syrian nation coalit revolutionari opposit forc report attack well number western state blame syrian govern troop attack damascu refut alleg syrian armi sourc tell sputnik armi poss chemic weapon 38 topic us missil attack syrian air base 200 tag strike syria unit state hom commun standardsdiscuss comment via facebookcom via sputnik news,1
39,publish april 2 2017 syrian opposit forc sunday claim russian jet violat ceasefir hit outpost northwestern syria idlib provinc near border turkey kill least one opposit fighter wound sever other said sever overnight raid hit babeska villag idlib becom sever moder free syrian armi fsa group tripartit mechan establish februari turkey russia iran monitor ceasefir syria opposit forc howev say russia fail pressur assad regim ensur ceasefir hold villag also hous hundr famili fighter damascu suburb daraya fell assad regim forc last year evacu opposit forc fighter jet also believ russian struck town urum al kubra oppositionheld western aleppo countrysid five civilian kill area wit fight opposit assad regim opposit said,1
485,tuesday 26 april 2016 2141 syrian coalit mourn 5 rescu worker kill airstrik rural aleppo secretarygener syrian coalit abdul ilah alfahd sent letter condol civil defens corp aleppo follow death five rescu worker airstrik russian regim forc center group town alatareb monday deepli shock sadden hear death five finest volunt rescu worker civil defens corp alatareb fahd said ad syrian peopl highli appreci braveri daili heroic deed civil defens worker rescu civilian ongo brutal war assad regim wage peopl countri five year behalf syrian coalit fahd extend sincer condol famili friend victim express hope death strengthen syrian peopl determin continu revolut fahd conclud letter say struggl freedom justic continu crimin blood hand abl get away crime sourc syrian coalit,1
759,10072016 syrian forc foil raid castello kill 29 milit nearli 30 foreignsponsor takfiri terrorist kill offens unsuccess launch reopen key suppli rout syrian northern citi aleppo nearli 30 foreignsponsor takfiri terrorist kill offens unsuccess launch reopen key suppli rout syrian northern citi aleppo socal syrian observatori human right announc sunday milit socal faylaq alsham nusra front latter syrian branch alqaeda mount attack recaptur strateg castello road thursday ad syrian armi soldier launch counteroffens kill 29 extremist foil attack attack end road remain complet close said observatori chief rami abdel rahman castello road effect sever syrian forc thursday seiz hilltop within fire rang key suppli rout saturday armi soldier within 500 meter yard road fire vehicl attempt use observatori said least one car target road earli sunday morn ad unclear carri civilian fighter captur castello road came wake recent advanc syrian armi almallah farm area northwest aleppo armi attempt seiz mallah two year run adjac castello road last rout milit use access district control second syrian citi captur mallah farm castello road enabl syrian forc besieg militantheld neighborhood aleppo put within fire rang armi,1
336,31 oct 2017 least seven syrian children kill regim shell rebelheld area outsid damascu tuesday left school activist said syrian regim intensifi campaign last rebel holdout outskirt capit russiansponsor talk kazakhstan aim consolid deescal zone differ part countri limit local truce aim freez line sixyearold civil war claim estim 400000 live allow humanitarian aid flow besieg area ghouta media center syrian observatori human right said least five children kill shell land gate school jisreen town eastern ghouta suburb damascu children leav day observatori said death toll like rise anoth child kill villag anoth shell one children leg blown shell northeastern town musraba meanwhil kill anoth three peopl includ child accord observatori ghouta media center said four kill includ two children anoth shell harasta also eastern ghouta suburb land near school caus injuri eastern ghouta still home estim 350000 peopl endur year sieg shell continu despit deescal agreement back regim close alli russia iran monday unit nation said reach thousand resid first time month area one last remain pocket opposit regim leader assad depend aid smuggl rebel respond shell barrag mortar lob regimeheld district damascu wound least 10 civilian three neighbourhood rebel regim meanwhil set conclud latest round talk kazakh capit astana negoti sponsor turkey back rebel well russia iran deescal zone agre astana significantli reduc violenc mani part syria last polit solut remain elus sourc reuter relat news iraq vote violat global gag rule slovenian elect thousand afghan migrant walk turkey better life donald trump new abort polici 37th istanbul film festiv egon schiel cy twombl episod showcas categori news blunder mb saudi arabia reclaim sovereignti sudanes presid bashir dissolv govern appoint new pm summit tehran call polit solut syria talk tehran lastditch effort avoid anoth syrian bloodbath pictur worth thousand word follow us instagram follow trtworld dont miss latest news wont spam respect privaci subscrib trt world youtub subscrib youtub channel latest indepth ground report around world subscrib trt world facebook like follow follow copyright 2018 trt world trt world watch live tv schedul watch connect trt world io android youtub satellit coverag partner hotel corpor trt world career press releas documentari contact us legal term use privaci polici cooki polici,1
245,russia say 62 syrian troop kill usl strike afp sunday 18 sep 2016 60 syrian govern soldier kill dozen other injur saturday usl coalit air strike air base east wartorn countri russian armi said warplan intern antijihadist coalit carri four air strike today syrian forc surround islam state group deir ezzor air base armi said statement sixtytwo syrian soldier kill hundr other injur strike russian militari said two f16 two a10 jet flew syrian air space neighbour iraq carri strike straight coalit strike milit launch offens said statement ad fierc fight terrorist ensu nearbi strike due error target coordin would direct consequ us refus coordin russia fight terrorist group syria said russian jet deploy syria oper area time coalit strike later interven support syrian armi target russian gener vladimir savchenko said total 10 strike carri start 1600 gmt said televis brief,1
508,saturday 24 decemb 2016 iranian militia carri summari execut civilian aleppo syrian coalit condemn war crime iranian militia commit civilian aleppo stress intern commun bear respons crime fail prevent activist aleppo said iranian militia summarili execut six young men neighborhood sakhour friday men return home eastern aleppo complet fell regim forc member syrian coalit polit committe yasser farhan said free syrian armi forc syrian revolut continu resist russian iranian invad oust syrian territori activist rural aleppo said assad regim russian air forc finish brutal bomb campaign eastern aleppo carri intens airstrik western aleppo past two day six civilian one famili kill airstrik town atareb west aleppo saturday regim forc also significantli escal aerial artilleri bombard wadi barada valley northwest damascu pound rebelheld enclav ten barrel bomb airstrik past two day farhan stress intern commun respons stop crime point russia still abl control situat syria sponsor peac process farhan rais question un secur council resolut pass earlier week call deploy un observ aleppo said latest resolut yet implement earlier unsc resolut syria call stop attack civilian unhind deliveri aid besieg hardtoreach area releas detaine implement iran seek consolid presenc syria deploy sectarian foreign militia key area across countri farhan warn sourc syrian coalit media offic twitter,0
80,date public 25 april 2017 airstrik rebelheld villag northwest syria earli tuesday kill 12 peopl put nearbi field clinic servic accord syrian observatori tag syria idlib russia airstrik syrian regim bashar assad airstrik rebelheld villag northwest syria kill 12 peopl put nearbi field clinic servic earli tuesday syrian observatori human right monitor group said first round raid like carri russian jet target villag duwayleh idlib provinc twelv peopl kill includ least two rebel fighter five civilian observatori head rami abdel rahman said bring wound peopl clinic nearbi kafr takharim new airstrik hit near facil abdel rahman told afp put hospit servic damag structur equip said second medic facil rebelheld idlib provinc target four day warplan saturday sever damag makeshift hospit set cave bombard near oppositioncontrol villag abdeen wound five medic staff accord observatori world health organ call syria world danger place health worker provinc idlib control rebel extremist group sinc spring 2015 regularli bombard syrian alli russian warplan earli april least 88 civilian kill suspect chemic attack khan sheikhun town south idlib provinc organis prohibit chemic weapon opcw said last week incontrovert test result show sarin ga similar substanc use khan sheikhun read also,0
112,date public 21 septemb 2016 russian regim warplan confirm civil defenceu offici behind deliber attack target unr crescent sarc convoy monday night kill score volunt civilian tag white helmet sarc war crime un aid convoy urum alkubra aleppo russian regim warplan behind deliber attack target unr crescent sarc convoy monday night kill score volunt civilian syrian civil defenc confirm statement late tuesday plane struck convoy truck unload aid town urum alkubra west aleppo citi struck civil defenc crew arriv scene statement ad fifteen sarc volunt kill doubletap strike said civil defenc also known white helmet among first respond 25 injur strike also destroy aid statement describ attack crime insist whereabout convoy known parti earlier un decid suspend aid convoy syria pend reevalu secur situat follow attack convoy urum alkubra reuter quot us offici said tuesday two russian sukhoi su24 warplan sky aid convoy syria precis time struck monday offici cite us intellig led conclud russia blame accord cnn report us reach preliminari conclus russian warplan bomb aid convoy warehous belong sarc evid point conclus one offici said white hous meanwhil said russia hold respons strike regardless whether plane attack inform indic clearli airstrik mean could two entiti respons deputi nation secur advis ben rhode said tuesday night name moscow syrian regim didnt specifi countri plane carri strike hold russian govern respons airstrik airspac given commit cessat hostil ground air oper humanitarian assist flow rhode said refer term recent ceasefir broker us russia russia deni aircraft syrian govern alli involv incid 18 truck 31vehicl convoy destroy strike appear deal fatal blow syria fragil weekold ceasefir read also,1
490,tuesday 02 august 2016 1911 syrian coalit demand un action chapter vii follow regim chlorin attack saraqib idlib twitter font size activist said regim forc bomb town saraqib rural idlib chlorinefil barrel bomb monday caus 30 case asphyxi among civilian attack carri blatant violat un secur council resolut 2118 2235 ban use chemic weapon toxic substanc press releas issu earlier tuesday syrian coalit call upon un secur council shoulder respons toward stop attack stress urgent measur must taken chapter vii charter unit nation protect syrian peopl delay take firm stanc toward attack open door crime violat assad regim coalit said separ 12 civilian kill dozen injur includ women children russian jet raid villag abu alduhour rural idlib monday five civilian also kill similar attack villag tal toughan rural idlib activist said bomb carri russian forc reveng death five crewmen kill helicopt crash near town saraqib monday syrian coalit emphas need intern commun assum respons regard protect civilian accord intern law il intern humanitarian law ihl stop war crime elimin constant threat use chemic weapon assad regim sourc syrian coalit twitter,1
769,02062016 terrorist bomb claim 5 syria latakia terrorist motorcycl bomb attack took place near alkhulafaa alrashideen mosqu aldaatour neighborhood latakia citi leav 5 martyr terrorist motorcycl bomb attack took place near alkhulafaa alrashideen mosqu aldaatour neighborhood latakia citi leav 5 martyr two civilian kill three other injur terrorist rocket attack neighborhood deir ezzor citi sourc deir ezzor governor told sana report wednesday isil terrorist fire dawn sever rocket shell alqusour aljoura neighborhood citi terrorist attack accord sourc claim live two person injur three other caus materi damag public privat properti shell fell aleppo context woman kill 35 other injur terrorist attack rocket shell residenti neighborhood aleppo citi new breach cessat hostil sourc aleppo polic command said statement sana report terrorist group target wednesday morn alshrafiyeh neighborhood rocket shell kill woman injur four civilian 17 civilian injur mogambo neighborhood anoth one injur attack alhamadaniyeh neighborhood injur person taken hospit treatment terrorist attack accord sourc caus materi damag infrastructur local hous properti terrorist group target charit clinic alihsan associ al mogambo rocket shell injur three person medic staff addit five patient includ woman abort due injuri rocket shell fire terrorist alramouseh neighborhood injur two civilian local sourc told sana report rocket shell fell alsheikh maqsoud neighborhood injur three civilian eight person wound foua kafyra idleb meanwhil civil sourc told sana 8 person among two children wound terrorist rocket shell alfoaa kafrya idleb countrysid tuesday seven civilian includ child woman kill 13 other injur terrorist attack rocket shell sniper shot bab alfaraj alneel street alassad suburb alhamadaniyeh alramouseh new aleppo russian center monitor coordin cessat hostil regist 604 breach terrorist group sinc came effect februari 27,1
690,23042017 get short url 4430 israel defens forc idf allegedli struck militari base damascusback nation defens forc ndf golan height kill three syrian fighter result local media report sunday cite ndf offici afp 2018 jalaa marey casual report amid syrian projectil golan height idf moscow sputnik ndf base attack sunday naba alfawwar area syrian quneitra provinc golan height time israel newspap report syrian observatori human right monitor group confirm attack accord newspap friday isra combat plane deliv missil strike syrian armi posit khanarnab area quneitra provinc caus materi damag syrian militari sourc told sputnik idf said total three rocket launch syrian territori fell israelicontrol part golan height caus injuri israel occupi golan height 1967 sixday war syria annex territori 1981 intern commun recogn isra annex 430 relat iraqi militia creat brigad liber golan height israel spokesman missil launch syria hit golan height israel defens forc isra air forc target syrian mortar golan height fight escal tag strike golan height israel commun standardsdiscuss comment via facebookcom via sputnik news,1
